line_item,2021,2022,2023,2024,2025
Accounts payable,30890,20791,22456,23519,31979
"Accounts receivable, net",992,1435,1779,1948,3285
Accrued expenses,60840,58222,46320,51609,49225
Accumulated deficit,-493241,-603634,-666831,-687221,-685580
Accumulated other comprehensive income,16,-647,-1529,-1938,-1481
Additional paid-in capital,779212,890915,970135,1029220,1054779
Cash and cash equivalents,256416,208585,216894,254161,286358
Common Stock,0,12,12,12,12
Current lease liabilities,,,,20235,31399
Deferred rent,36544,0,,,
Deferred revenue,22073,25628,31617,32358,33869
Inventory,57095,68848,62234,52345,44512
Non-current lease liabilities,,,,205120,201749
"Operating Lease, Liability, Current",,22546,24286,,
"Operating Lease, Liability, Noncurrent",,150832,150171,,
"Operating Lease, Right-of-Use Asset",,127014,122305,,
Other assets,471,8497,7056,8696,10228
Other current liabilities,4301,2370,2411,2633,3658
Other liabilities,0,1672,1264,943,1310
Prepaid expenses and other current assets,13477,15700,17712,17592,18283
"Property and equipment, net",112195,138628,152332,170464,187448
"Redeemable convertible preferred stock, $.0001 par value, zero and 54,507,243 shares authorized; zero and 54,041,904 shares issued and outstanding as of December 31, 2021 and 2020, respectively",0,,,,
Right-of-use lease assets,,,,171284,170805
Total assets,440646,568707,580312,676490,720919
Total current assets,327980,294568,298619,326046,352438
Total current liabilities,118104,129557,127090,130354,150130
Total liabilities,154648,282061,278525,336417,353189
Total liabilities and stockholders' equity,,568707,580312,676490,720919
"Total liabilities, redeemable convertible preferred stock, and stockholders' deficit",440646,,,,
Total stockholders' deficit,285998,,,,
Total stockholders' equity,,286646,301787,340073,367730
