line_item,2021,2022,2023,2024,2025
Accounts payable,-11114.0,-7943.0,1633.0,689.0,8500.0
"Accounts receivable, net",-392.0,-451.0,-345.0,-169.0,-1337.0
Accrued expenses,9486.0,2748.0,-8898.0,9521.0,-2691.0
Amortization of cloud-based software implementation costs,,,2895.0,3704.0,3405.0
Beginning of year,314085.0,256416.0,208585.0,216894.0,254161.0
Borrowings from Credit Facility,0.0,0.0,,,
Cancellation of options for consideration,0.0,,,,
Cash paid for amounts included in the measurement of lease liabilities,,29647.0,37126.0,44459.0,
Cash paid for income taxes,356.0,536.0,419.0,1035.0,776.0
Cash paid for interest,150.0,184.0,227.0,246.0,325.0
Deferred rent,8547.0,0.0,0.0,,
Deferred revenue,-4478.0,3583.0,5989.0,741.0,1511.0
Depreciation and amortization,21868.0,31864.0,38554.0,45865.0,50280.0
Effect of exchange rates on cash,-161.0,-1311.0,-882.0,-404.0,457.0
Employee tax withholding remitted in connection with exercise or release of equity awards,-2532.0,0.0,0.0,,
End of year,256416.0,208585.0,216894.0,254161.0,286358.0
Increase (Decrease) in Right-of-use Lease Assets and Current and Non-current Lease Liabilities,,7385.0,4459.0,,
Inventory,-18624.0,-11794.0,6614.0,9889.0,7833.0
Investment in optical equipment company,,,-1000.0,-2000.0,0.0
"Issuance of Series F and Series G redeemable convertible preferred stock, net of issuance costs",0.0,0.0,,,
Lease assets and liabilities,,,,1920.0,8272.0
Net cash used in investing activities,-48513.0,-60181.0,-54671.0,-66032.0,-67048.0
Non-cash charitable contribution,7757.0,3770.0,3191.0,2196.0,2821.0
Other current liabilities,579.0,537.0,41.0,,
Other financing activity,,,,333.0,30.0
Other liabilities,-1613.0,1672.0,-408.0,-99.0,1088.0
Prepaid expenses and other assets,-6887.0,-10287.0,-3276.0,-3233.0,-5631.0
Proceeds from Stock Plans,,2744.0,1835.0,,
Proceeds from repayment of related party loans,31612.0,91.0,0.0,,
Proceeds from shares issued in connection with ESPP,,,,1925.0,2204.0
Proceeds from stock option and warrant exercises,20035.0,456.0,1036.0,,
Proceeds from stock option exercises,,,,2703.0,159.0
Purchases of property and equipment,-48513.0,-60181.0,-53671.0,-64032.0,-67048.0
Purchases of property and equipment included in accounts payable and accrued expenses,4158.0,3968.0,3647.0,4420.0,5191.0
Related party loans issued in connection with stock option exercises,13827.0,0.0,0.0,,
Repayment of Credit Facility,0.0,0.0,,,
Repurchase of stock,-8085.0,0.0,0.0,,
Shares withheld for taxes on stock-based compensation,,,,,-14390.0
Stock-based compensation,107148.0,98032.0,70509.0,47294.0,34536.0
Net cash provided by (used in) operating activities,-31994.0,10370.0,60991.0,98744.0,110785.0
Net cash provided by (used in) financing activities,22999.0,3291.0,2871.0,4961.0,-11997.0
Net increase (decrease) in cash and cash equivalents,-57669.0,-47831.0,8309.0,37267.0,32197.0
Net loss,-144271.0,-110393.0,-63197.0,-20390.0,1641.0
Payment for tender offer,-18031.0,0.0,0.0,,
Asset impairment charges,,1647.0,3230.0,816.0,557.0
