line_item,2021,2022,2023,2024,2025
Cost of goods sold,223049.0,257050.0,304541.0,344481.0,401326.0
Deemed dividend upon redemption of redeemable convertible preferred stock,-13137.0,0.0,0.0,,
Foreign currency translation adjustment,-93.0,-663.0,-882.0,-409.0,457.0
Gross profit,317749.0,341062.0,365224.0,426834.0,470579.0
Loss from operations,-143661.0,-111203.0,-71996.0,-30112.0,-5336.0
"Net Income (Loss) Available to Common Stockholders, Basic, Total",,,,-20390.0,1641.0
"Net Income (Loss) Available to Common Stockholders, Diluted, Total",,,,-20390.0,1641.0
Net loss attributable to common stockholders,-157408.0,-110393.0,-63197.0,,
"Net loss per share attributable to common stockholders, basic (in dollars per share)",-2.21,-0.96,-0.54,-0.17,0.01
"Net loss per share attributable to common stockholders, diluted (in dollars per share)",-2.21,-0.96,-0.54,-0.17,0.01
Net revenue,540798.0,598112.0,669765.0,771315.0,871905.0
Provision for income taxes,263.0,497.0,433.0,875.0,1402.0
"Selling, general, and administrative expenses",461410.0,452265.0,437220.0,456946.0,475915.0
"Weighted average shares used in computing net loss per share attributable to common stockholders, Diluted (in shares)",71249257.0,114942019.0,117389012.0,120385000.0,125100000.0
"Weighted average shares used in computing net loss per share attributable to common stockholders, basic (in shares)",71249257.0,114942019.0,117389012.0,120385000.0,122670000.0
Income (loss) before income taxes,-144008.0,-109896.0,-62764.0,-19515.0,3043.0
Net income (loss),-144271.0,-110393.0,-63197.0,-20390.0,1641.0
"Interest and other income (loss), net",-347.0,1307.0,9232.0,10597.0,8379.0
Total comprehensive income (loss),-144364.0,-111056.0,-64079.0,-20799.0,2098.0
